Date,Open,High,Low,Close,Volume,Adj Close,ClosePrice,Fast10DayEMA,Slow40DayEMA,APO,Trades,Position,Pnl
2014-04-03,569.85,587.28,564.13,569.74,4959598.0,569.74,569.74,569.74,569.74,0.0,0,0,0.0
2014-04-04,574.65,577.77,543.0,543.14,6348310.0,543.14,543.14,565.4517575757576,568.5894959349594,-3.1377383592017623,0,0,0.0
2014-04-07,540.74,548.48,527.15,538.15,4361913.0,538.15,538.15,560.8630838858664,567.2168995396183,-6.353815653751894,0,0,0.0
2014-04-08,542.6,555.0,541.61,554.9,3138698.0,554.9,554.9,559.9834884977781,566.7294583192883,-6.74596982151013,0,0,0.0
2014-04-09,559.62,565.37,552.95,564.14,3314667.0,564.14,564.14,560.5882979602424,566.6283685177565,-6.040070557514127,0,0,0.0
2014-04-10,565.0,565.0,539.9,540.95,4018339.0,540.95,540.95,557.7338659142423,565.6270041832908,-7.89313826904845,0,0,0.0
2014-04-11,532.55,540.0,526.53,530.6,3910723.0,530.6,530.6,553.3399954870318,564.1052398752532,-10.76524438822139,1,10,0.0
2014-04-14,538.25,544.1,529.56,532.52,2555836.0,532.52,532.52,549.9059495880151,562.7075253691319,-12.801575781116753,0,10,19.19999999999959
2014-04-15,536.82,538.45,518.46,536.44,3835273.0,536.44,536.44,547.7459320607563,561.5770833821833,-13.831151321427,0,10,58.40000000000032
2014-04-16,543.0,557.0,540.0,556.54,4250338.0,556.54,556.54,549.128975165404,561.3645467141416,-12.235571548737653,1,20,259.40000000000055
2014-04-17,548.81,549.5,531.15,536.1,6770387.0,536.1,536.1,547.1167369518489,560.3176846189954,-13.200947667146465,-1,10,-74.69999999999914
2014-04-21,536.1,536.7,525.6,528.62,2553007.0,528.62,528.62,544.1829593408563,558.968819767499,-14.785860426642671,1,20,-124.53333333333148
2014-04-22,528.64,537.23,527.51,534.81,2351618.0,534.81,534.81,542.7259045020162,557.9612300967297,-15.235325594713458,0,20,-62.633333333332075
2014-04-23,533.79,533.87,526.25,526.94,2012651.0,526.94,526.94,540.2229278520391,556.6415910102587,-16.4186631582196,0,20,-141.33333333333098
2014-04-24,530.07,531.65,522.12,525.16,1871147.0,525.16,525.16,537.7856445382514,555.2749258595745,-17.48928132132312,0,20,-159.13333333333185
2014-04-25,522.51,524.7,515.42,516.18,2088059.0,516.18,516.18,534.0461970138567,553.4595379498462,-19.41334093598948,1,30,-304.9499999999978
2014-04-28,517.18,518.6,502.8,517.15,3317684.0,517.15,517.15,531.0084633394031,551.7081180434727,-20.699654704069644,0,30,-285.5499999999972
2014-04-29,516.9,529.46,516.32,527.7,2685874.0,527.7,527.7,530.422168604251,550.5666687756782,-20.144500171427126,1,40,-85.1199999999983
2014-04-30,527.6,528.0,522.52,526.66,1729261.0,526.66,526.66,529.7634743078949,549.4436848471299,-19.680210539235077,0,40,-116.32000000000062
2014-05-01,527.11,532.93,523.88,531.35,1896321.0,531.35,531.35,530.0353164363602,548.6119105374358,-18.57659410107567,0,40,24.38000000000102
2014-05-02,533.76,534.0,525.61,527.93,1680152.0,527.93,527.93,529.7274877702574,547.8005924410014,-18.073104670743987,0,40,-78.22000000000116
2014-05-05,524.82,528.9,521.32,527.81,1020439.0,527.81,527.81,529.4486912308732,547.0207815982118,-17.572090367338546,0,40,-81.8200000000013
2014-05-06,525.23,526.81,515.06,515.14,1612592.0,515.14,515.14,527.2578604741973,545.7111573555342,-18.453296881336883,1,50,-489.8999999999944
2014-05-07,515.79,516.68,503.3,509.96,3207835.0,509.96,509.96,524.6345171259471,544.2564967424081,-19.621979616460976,0,50,-697.0999999999947
2014-05-08,508.46,517.23,506.45,511.0,2009809.0,511.0,511.0,522.8805795221962,543.1087139633759,-20.22813444117969,0,50,-655.4999999999939
2014-05-09,510.75,519.9,504.2,518.73,2426746.0,518.73,518.73,522.3595388519224,542.2876395758433,-19.92810072392092,0,50,-346.29999999999313
2014-05-12,523.51,530.19,519.01,530.17,1902605.0,530.17,530.17,523.3393269320806,541.8798066035761,-18.54047967149552,1,60,112.78571428571695
2014-05-13,530.89,536.07,529.51,533.09,1644062.0,533.09,533.09,524.564439579464,541.5835080193932,-17.019068439929242,0,60,258.7857142857206
2014-05-14,533.0,533.0,525.29,526.65,1185361.0,526.65,526.65,524.820541962176,541.0915120886848,-16.270970126508814,-1,50,-36.928571428568375
2014-05-15,525.7,525.87,517.42,519.98,1693474.0,519.98,519.98,524.38196122021,540.5783155278273,-16.196354307617298,1,60,-260.27499999999463
2014-05-16,521.39,521.8,515.44,520.63,1476752.0,520.63,520.63,524.0623643325197,540.1224263761446,-16.060062043624953,0,60,-234.27499999999554
2014-05-19,519.7,529.78,517.58,528.86,1271821.0,528.86,528.86,524.4715244630531,539.8647308746198,-15.393206411566666,1,70,96.57777777778051
2014-05-20,529.74,536.23,526.3,529.77,1773146.0,529.77,529.77,524.9031121558559,539.6441226539276,-14.741010498071773,0,70,142.07777777777892
2014-05-21,532.9,539.18,531.91,538.94,1186245.0,538.94,538.94,526.1772106366018,539.6269756078999,-13.449764971298123,1,80,622.0600000000104
2014-05-22,541.13,547.6,540.78,545.06,1501418.0,545.06,545.06,528.1844664260611,539.7819239928433,-11.597457566782168,-1,70,831.3900000000024
2014-05-23,547.26,553.64,543.7,552.7,1923735.0,552.7,552.7,531.2661295854995,540.2175867949624,-8.951457209462887,-1,60,902.7200000000039
2014-05-27,556.0,566.0,554.35,565.94,2094782.0,565.94,565.94,536.7899508476905,541.3169921158058,-4.527041268115227,-1,50,800.8500000000026
2014-05-28,564.57,567.84,561.0,561.68,1644807.0,561.68,561.68,541.283044870007,542.3032046328808,-1.0201597628738455,-1,40,1773.0600000000118
2014-05-29,563.35,564.0,558.71,560.08,1346577.0,560.08,560.08,544.9568743638034,543.235371781056,1.721502582747462,-1,30,2665.270000000014
2014-05-30,560.8,561.35,555.91,559.89,1699439.0,559.89,559.89,548.0638109011171,544.1650345404804,3.8987763606367025,-1,20,3576.1800000000153
2014-06-02,560.7,560.9,545.73,553.93,1428898.0,553.93,553.93,549.3166229292241,544.7245465280081,4.592076401215991,-1,10,3958.2900000000145
2014-06-03,550.99,552.34,542.55,544.94,1835985.0,544.94,544.94,548.3807798246207,544.7369067490928,3.6438730755279494,-1,0,2142.4000000000087
2014-06-04,541.5,548.61,538.75,544.61,1811102.0,544.61,544.61,547.6025300714246,544.7298795644584,2.8726505069661243,0,0,2142.4000000000087
2014-06-05,546.4,554.95,544.45,553.9,1680083.0,553.9,553.9,548.8313959682984,545.2099691196405,3.6214268486578476,0,0,2142.4000000000087
2014-06-06,558.06,558.06,548.93,556.33,1716858.0,556.33,556.33,550.195359299793,545.7526407218238,4.442718577969231,0,0,2142.4000000000087
2014-06-09,557.15,562.9,556.04,562.12,1458607.0,562.12,562.12,552.301772034202,546.528326115252,5.773445918950074,0,0,2142.4000000000087
2014-06-10,560.51,563.6,557.9,560.55,1343356.0,560.55,560.55,553.7601965837832,547.1934951157193,6.566701468063911,0,0,2142.4000000000087
2014-06-11,558.0,559.88,555.02,558.84,1095316.0,558.84,558.84,554.6547899134628,547.7437744350718,6.9110154783909366,0,0,2142.4000000000087
2014-06-12,557.3,557.99,548.46,551.35,1453478.0,551.35,551.35,554.1038834119992,547.9050600957181,6.19882331628105,0,0,2142.4000000000087
2014-06-13,552.26,552.3,545.56,551.76,1215374.0,551.76,551.76,553.7600577042958,548.0567751862732,5.703282518022661,0,0,2142.4000000000087
2014-06-16,549.26,549.62,541.52,544.28,1695736.0,544.28,544.28,552.5919089268019,547.9319169659254,4.659991960876482,0,0,2142.4000000000087
2014-06-17,544.2,545.32,539.33,543.01,1439945.0,543.01,543.01,551.5457422489334,547.7877413035225,3.758000945410913,0,0,2142.4000000000087
2014-06-18,544.86,553.56,544.0,553.37,1732762.0,553.37,553.37,551.709976719505,547.9225745222333,3.7874021972717173,0,0,2142.4000000000087
2014-06-19,554.24,555.0,548.51,554.9,2447849.0,554.9,554.9,551.9680994882088,548.074047965377,3.8940515228318873,0,0,2142.4000000000087
2014-06-20,556.85,557.58,550.39,557.38,3713054.0,557.38,557.38,552.3871378687836,548.2673665632669,4.119771305516679,0,0,2142.4000000000087
2014-06-23,555.15,565.0,554.25,564.95,1529624.0,564.95,564.95,553.4157994330109,548.6338525344154,4.781946898595493,-1,-10,2142.4000000000087
2014-06-24,565.19,572.64,561.01,564.62,2199907.0,564.62,564.62,554.3196810577167,548.9798582925791,5.339822765137569,0,-10,2145.700000000009
2014-06-25,565.26,579.96,565.22,578.65,1949806.0,578.65,578.65,556.7711912173007,549.7819321186564,6.989259098644311,-1,-20,2005.4000000000083
2014-06-26,581.0,582.45,571.85,576.0,1707633.0,576.0,576.0,558.9536298367084,550.5802928538408,8.373336982867613,0,-20,2058.400000000008
2014-06-27,577.18,579.87,573.8,577.24,1973285.0,577.24,577.24,561.250609355608,551.4787426591588,9.771866696449251,0,-20,2033.6000000000076
2014-06-30,578.66,579.57,574.75,575.28,1308084.0,575.28,575.28,563.1221916703843,552.3306235040857,10.791568166298589,0,-20,2072.8000000000084
2014-07-01,578.32,584.4,576.65,582.56,1439166.0,582.56,582.56,565.8756416703008,553.4794856425276,12.396156027773145,0,-20,1927.200000000009
